Epoch,Loss,Accuracy,Val_Loss,Val_Accuracy
1,0.6075323820114136,0.8082051277160645,0.5579612255096436,0.8178204894065857
2,0.3461674451828003,0.8855769038200378,0.5570891499519348,0.8189102411270142
3,0.30434316396713257,0.8989743590354919,0.5408201813697815,0.8262179493904114
4,0.27427420020103455,0.9092788696289062,0.5517123937606812,0.8353205323219299
5,0.25404947996139526,0.9159455299377441,0.5336962938308716,0.8389743566513062
6,0.24132785201072693,0.9203044772148132,0.5266684293746948,0.8394230604171753
7,0.22585207223892212,0.9251121878623962,0.5724857449531555,0.8357692360877991
8,0.22084800899028778,0.9262179732322693,0.5863762497901917,0.8376923203468323
9,0.21172313392162323,0.928782045841217,0.5598853826522827,0.8416025638580322
10,0.2044837772846222,0.9313141107559204,0.5413784384727478,0.8451281785964966
11,0.20176354050636292,0.9328846335411072,0.5449562072753906,0.8413461446762085
